Country,1990,2021,Absolute Change,Relative Change,1990.1,2021.0.1,Absolute Change.1,Relative Change.1,1990.2,2021.0.2,Absolute Change.2,Relative Change.2,Smoking_1990,Smoking_2021,Change,Percent_Change,Disease1,Disease2,Disease3,Disease4,Disease5,Disease6,Disease7,Disease8,Disease9,Disease10,Disease11,Disease12,Disease13,Disease14,Disease15,Disease16,Disease17,Disease18,Disease19,Disease20,Disease21,Disease22,Disease23,Disease24,Disease25,Disease26,Disease27,Disease28,Metric1,Metric2,Population
United States,18,7.8,-10.2,-0.57,881.7,513.2,-368.5,-0.42,370.6,160.9,-209.7,-0.57,116.3,57.6,-58.8,-0.51,462447,47953,76487,111663,69592,406,24387,12648,13041,8223,16,53379,342532,383845,63587,334863,516,110332,30689,0,48,74,157,50064,32018,420,161837,7806,0.284,0.175,339436157
Gambia,13.8,7.7,-6.1,-0.44,388.3,226.4,-161.8,-0.42,202.2,108.6,-93.5,-0.46,67.1,37.2,-29.9,-0.45,2059,137,162,369,593,360,211,270,1141,6,2052,392,377,879,2530,705,300,56,86,20,127,32,55,471,51,426,477,1324,0.214,0.008,2515744
Democratic Republic of Congo,9,6.7,-2.3,-0.25,248,146.1,-102,-0.41,129.9,85.8,-44.1,-0.34,42.7,27.5,-15.2,-0.36,57730,2067,5336,15822,15662,11688,4177,10037,11733,913,72051,19927,11143,35860,78781,27838,10010,875,2915,368,11134,1723,2196,6337,2908,14366,11407,35568,0.227,0.029,95989999
Tanzania,13.9,8,-5.8,-0.42,530.8,315.4,-215.3,-0.41,216.7,112.9,-103.8,-0.48,80.8,44.1,-36.7,-0.45,33681,6886,2316,10785,5938,13097,2541,8647,33645,70,42079,6978,11120,15991,46862,14367,11145,2165,1693,249,6617,1290,1123,4706,358,9168,9149,26409,0.14,0.034,60972801
Ukraine,31.2,31.6,0.3,0.01,796.5,475.3,-321.2,-0.4,393.7,274,-119.8,-0.3,124.9,81.4,-43.5,-0.35,235583,11028,52859,30871,28749,16,14995,67,4489,31922,5198,5870,61421,49269,61903,65564,13,7040,1340,0,32,18,6,56361,7268,126,115304,554,0.4,0.115,44680009
Bangladesh,21,11.7,-9.3,-0.44,1146.3,687.9,-458.5,-0.4,417.4,182.9,-234.4,-0.56,154.5,81.2,-73.2,-0.47,199691,23688,10169,8998,47337,23017,27166,4716,6207,20001,189732,34220,104021,94665,236315,28352,17489,1435,3104,21,2844,882,813,41853,7587,10930,46859,41612,0.522,0.171,166298024
Morocco,15.5,7.8,-7.7,-0.5,470.2,284.1,-186.1,-0.4,195.9,132.5,-63.4,-0.32,70.2,42.1,-28.1,-0.4,87898,2368,20610,518,4103,538,7788,446,1255,6552,1829,4630,14559,42533,28524,32247,223,1242,1464,9,184,217,109,25965,5704,430,33869,3758,0.282,0.008,36584208
Kenya,8.6,6.3,-2.2,-0.26,408.8,247.2,-161.5,-0.4,124.8,87,-37.8,-0.3,53.7,34.3,-19.3,-0.36,24539,2477,1988,12824,5199,9012,1703,5827,28898,1021,26273,4424,7721,13790,29982,10382,7588,2712,1724,340,2304,1064,582,3571,980,7499,3681,13069,0.195,0.027,52217327
Rwanda,19.7,6.5,-13.2,-0.67,1185.6,719.4,-466.3,-0.39,414.8,169,-245.8,-0.59,160.5,80.4,-80.1,-0.5,7376,1213,802,3380,71,1899,560,1371,4726,240,9487,1833,4250,3514,10306,2114,1611,231,505,43,1010,91,142,766,182,1890,925,3830,0.201,0.072,13065839
Mauritania,12.7,4.8,-7.9,-0.62,234.9,144,-90.8,-0.39,128.2,57.6,-70.6,-0.55,43.8,21.4,-22.4,-0.51,3635,262,525,173,1001,526,380,361,226,279,1952,747,467,1468,3691,1755,432,21,161,10,179,70,98,1730,239,561,830,1968,0.193,0.021,4600135
Uganda,6.6,4.2,-2.4,-0.36,317.7,196.6,-121.1,-0.38,126.3,77,-49.3,-0.39,47.3,29,-18.3,-0.39,16423,2308,1424,8752,1086,6584,1108,5825,25482,76,25474,4411,4167,10417,28944,5556,5681,347,1064,84,5387,604,489,3385,468,5882,2666,22137,0.13,0.037,44457149
Nepal,26.7,7.8,-18.9,-0.71,1928.8,1196.1,-732.7,-0.38,506.4,216.6,-289.7,-0.57,226.1,120.5,-105.6,-0.47,22966,3720,2967,4944,6384,3044,4548,1799,1793,3611,33873,4181,24097,16439,48499,6089,2195,738,1350,12,660,243,239,12680,1032,1531,9304,9218,0.479,0.128,28966582
Malaysia,14.1,13.6,-0.4,-0.03,957.5,594.4,-363.1,-0.38,262.2,167.5,-94.7,-0.36,110.2,71.9,-38.3,-0.35,44847,8414,5944,2288,3837,532,5659,401,2057,60,40,3243,19259,21914,15654,12532,169,2084,1381,0,66,42,63,15197,2452,318,18358,1013,0.438,0.011,33889555
Argentina,23.1,8.4,-14.8,-0.64,504.4,314.4,-190,-0.38,310.2,162.2,-148,-0.48,90.2,47.7,-42.5,-0.47,46853,6809,9415,9519,4734,219,5313,926,4342,5344,275,6608,26477,30392,16051,30688,80,1618,1344,1,47,41,54,15268,2142,424,14274,1897,0.294,0.196,45191960
