Afghanistan,25371,1052,7478,296,7168,3125,3144,4372,717,2764,25968,8312,6286,13837,30644,12218,2449,588,810,687,3931,1077,609,4502,1873,2517,11108,14025
Costa Rica,3930.0,655.0,682.0,922.0,314.0,30.0,237.0,30.0,378.0,233.0,66.0,569.0,1371.0,2976.0,1028.0,2566.0,7.0,191.0,259.0,0.0,3.0,4.0,3.0,930.0,207.0,23.0,1272.0,159.0
Cote d'Ivoire,18095.0,1343.0,2082.0,5672.0,2572.0,4296.0,1945.0,3757.0,10734.0,40.0,18402.0,2571.0,3581.0,8231.0,25166.0,6899.0,3573.0,523.0,736.0,144.0,3634.0,1175.0,466.0,6697.0,605.0,4768.0,4262.0,20181.0
Croatia,13826.0,3741.0,2146.0,2328.0,933.0,18.0,1590.0,6.0,164.0,909.0,72.0,852.0,7538.0,6981.0,3987.0,5703.0,3.0,225.0,620.0,0.0,2.0,3.0,0.0,3724.0,970.0,13.0,5142.0,45.0
Cuba,20278.0,2211.0,3281.0,3820.0,2041.0,149.0,2430.0,87.0,994.0,662.0,368.0,2237.0,13319.0,12061.0,9645.0,8863.0,67.0,336.0,2118.0,0.0,7.0,9.0,8.0,9168.0,1342.0,382.0,7852.0,119.0
Cyprus,1645.0,134.0,374.0,223.0,144.0,2.0,142.0,3.0,29.0,37.0,0.0,158.0,1065.0,1212.0,556.0,833.0,1.0,28.0,87.0,0.0,0.0,0.0,0.0,502.0,147.0,3.0,632.0,11.0
Czechia,25977.0,7421.0,3323.0,5106.0,2968.0,100.0,2460.0,210.0,403.0,2020.0,18.0,2010.0,13823.0,16432.0,7570.0,12595.0,11.0,442.0,1044.0,0.0,5.0,15.0,0.0,7212.0,2175.0,52.0,11501.0,88.0
Democratic Republic of Congo,57730.0,2067.0,5336.0,15822.0,15662.0,11688.0,4177.0,10037.0,11733.0,913.0,72051.0,19927.0,11143.0,35860.0,78781.0,27838.0,10010.0,875.0,2915.0,368.0,11134.0,1723.0,2196.0,6337.0,2908.0,14366.0,11407.0,35568.0
Denmark,6934.0,537.0,1384.0,2396.0,477.0,12.0,465.0,58.0,195.0,301.0,0.0,477.0,9076.0,3891.0,1743.0,3220.0,5.0,408.0,535.0,0.0,0.0,1.0,0.0,1532.0,677.0,37.0,2507.0,85.0
Djibouti,828.0,112.0,136.0,75.0,270.0,158.0,109.0,175.0,885.0,60.0,256.0,144.0,393.0,417.0,668.0,199.0,134.0,25.0,41.0,4.0,60.0,21.0,24.0,408.0,20.0,157.0,166.0,308.0
Dominica,130.0,14.0,30.0,23.0,4.0,1.0,6.0,1.0,10.0,1.0,5.0,23.0,26.0,121.0,46.0,110.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,41.0,9.0,2.0,28.0,7.0
Dominican Republic,13452.0,1288.0,1988.0,2392.0,500.0,430.0,765.0,598.0,1168.0,268.0,335.0,1737.0,5730.0,7094.0,5383.0,6069.0,242.0,363.0,332.0,3.0,56.0,96.0,38.0,5019.0,761.0,293.0,5407.0,2500.0
East Timor,1749.0,382.0,114.0,213.0,434.0,110.0,247.0,215.0,137.0,67.0,1163.0,314.0,781.0,584.0,1531.0,157.0,89.0,60.0,36.0,3.0,126.0,34.0,15.0,362.0,26.0,54.0,402.0,423.0
Ecuador,11769.0,2210.0,2123.0,2532.0,1086.0,98.0,628.0,580.0,1973.0,1272.0,469.0,3418.0,3028.0,12085.0,5333.0,10200.0,55.0,318.0,796.0,1.0,109.0,41.0,39.0,4803.0,621.0,270.0,4137.0,1337.0
Egypt,166123.0,5576.0,26785.0,3084.0,9774.0,1103.0,20055.0,2454.0,976.0,12041.0,177.0,641.0,61816.0,82217.0,116519.0,111096.0,902.0,1235.0,1303.0,17.0,1963.0,1185.0,163.0,115654.0,10743.0,987.0,73375.0,7570.0
El Salvador,6455.0,1057.0,842.0,2050.0,1048.0,157.0,351.0,340.0,870.0,112.0,906.0,884.0,1225.0,6147.0,3084.0,5184.0,107.0,271.0,305.0,1.0,30.0,21.0,7.0,2112.0,401.0,108.0,2347.0,336.0
Equatorial Guinea,830.0,50.0,77.0,248.0,100.0,76.0,87.0,61.0,1727.0,1.0,15.0,173.0,175.0,611.0,546.0,494.0,42.0,51.0,36.0,1.0,60.0,17.0,16.0,525.0,37.0,93.0,201.0,428.0
Eritrea,3993.0,657.0,394.0,871.0,1179.0,1942.0,400.0,1637.0,1468.0,172.0,4695.0,1354.0,1051.0,2093.0,5611.0,995.0,1680.0,125.0,238.0,42.0,633.0,120.0,159.0,896.0,53.0,1677.0,747.0,2471.0
Estonia,5137.0,205.0,487.0,859.0,1066.0,0.0,164.0,5.0,89.0,278.0,13.0,791.0,1203.0,1275.0,232.0,2484.0,0.0,182.0,69.0,0.0,0.0,0.0,0.0,214.0,185.0,2.0,1264.0,5.0
Eswatini,1082.0,57.0,68.0,385.0,262.0,277.0,90.0,150.0,2871.0,18.0,433.0,318.0,284.0,929.0,840.0,1011.0,228.0,81.0,39.0,6.0,100.0,55.0,7.0,398.0,76.0,197.0,179.0,288.0
Ethiopia,37242.0,7362.0,6378.0,14279.0,17532.0,28203.0,2489.0,20161.0,18218.0,2679.0,68497.0,13582.0,5933.0,25390.0,76250.0,11459.0,24880.0,893.0,3475.0,600.0,9224.0,2085.0,1248.0,7496.0,1458.0,20544.0,6014.0,62202.0
Fiji,1644.0,269.0,491.0,79.0,518.0,86.0,226.0,31.0,118.0,20.0,363.0,190.0,716.0,2710.0,823.0,2053.0,44.0,25.0,17.0,0.0,3.0,3.0,3.0,459.0,208.0,27.0,753.0,106.0
Finland,12214.0,933.0,1753.0,2296.0,1502.0,3.0,269.0,17.0,93.0,977.0,0.0,1162.0,3854.0,5566.0,464.0,4790.0,2.0,505.0,776.0,0.0,0.0,0.0,0.0,436.0,672.0,12.0,4491.0,29.0
France,73256.0,5633.0,16143.0,26946.0,9951.0,61.0,3470.0,5041.0,2226.0,3194.0,5.0,7548.0,52332.0,38438.0,14554.0,39013.0,23.0,5925.0,9903.0,0.0,4.0,14.0,4.0,13394.0,7863.0,310.0,25709.0,897.0
Gabon,1864.0,124.0,142.0,630.0,165.0,113.0,119.0,86.0,1109.0,5.0,46.0,425.0,390.0,1418.0,942.0,1273.0,100.0,45.0,73.0,0.0,38.0,19.0,14.0,887.0,44.0,139.0,378.0,454.0
Gambia,2059.0,137.0,162.0,369.0,593.0,360.0,211.0,270.0,1141.0,6.0,2052.0,392.0,377.0,879.0,2530.0,705.0,300.0,56.0,86.0,20.0,127.0,32.0,55.0,471.0,51.0,426.0,477.0,1324.0
Georgia,14743.0,2030.0,2173.0,1735.0,1910.0,3.0,1475.0,5.0,255.0,682.0,1195.0,1078.0,5342.0,3888.0,4403.0,4513.0,3.0,317.0,231.0,0.0,5.0,4.0,2.0,3141.0,521.0,29.0,3530.0,167.0
Germany,185236.0,14091.0,22084.0,47456.0,19986.0,88.0,6671.0,604.0,2773.0,4816.0,4.0,18069.0,94196.0,100635.0,31602.0,84764.0,35.0,5980.0,12109.0,0.0,3.0,10.0,6.0,29057.0,10382.0,320.0,60888.0,913.0
Ghana,29753.0,3059.0,2993.0,6663.0,1972.0,4317.0,1088.0,2999.0,15149.0,39.0,18347.0,3733.0,4542.0,15717.0,29473.0,11393.0,3278.0,767.0,1106.0,71.0,1366.0,369.0,319.0,11037.0,1259.0,4554.0,7788.0,12754.0
Greece,24450.0,2228.0,5206.0,2958.0,1318.0,3.0,2266.0,6.0,343.0,604.0,13.0,794.0,18251.0,12273.0,7979.0,11748.0,3.0,471.0,902.0,0.0,1.0,1.0,1.0,7546.0,1604.0,102.0,9037.0,121.0
Greenland,45.0,5.0,9.0,30.0,6.0,0.0,7.0,0.0,3.0,0.0,0.0,4.0,80.0,22.0,6.0,27.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,21.0,3.0
